lat;lon;ele;time;temperature
47.583114;12.170826;494.888597;2024-08-23T16:21:14.187Z;28.6996806550406
47.58291;12.170766;494.888597;2024-08-23T16:21:16.665Z;28.854153125103362
47.58282;12.170733;494.888597;2024-08-23T16:21:17.800Z;28.6991466938853
47.582361;12.170592;494.888597;2024-08-23T16:21:23.180Z;29.92613909225447
47.58204;12.170486;494.421468;2024-08-23T16:21:26.780Z;28.993251387631034
47.58181;12.170483;493.881502;2024-08-23T16:21:30.342Z;28.47114453552205
47.581595;12.170488;493.376709;2024-08-23T16:21:33.693Z;29.411272456051595
47.581237;12.170422;492.5298;2024-08-23T16:21:39.198Z;28.38957817501449
47.580869;12.170301;491.644894;2024-08-23T16:21:43.213Z;29.10443179750238
47.580779;12.170241;491.413231;2024-08-23T16:21:44.221Z;28.020164938060113
47.580629;12.170168;491.042604;2024-08-23T16:21:45.877Z;28.335906975550785
47.580395;12.170073;490.484815;2024-08-23T16:21:48.366Z;29.09843061793456
47.580167;12.169957;489.953426;2024-08-23T16:21:50.953Z;29.369233289997705
47.580023;12.169826;489.580981;2024-08-23T16:21:52.711Z;29.085684140594985
47.579631;12.169254;488.368449;2024-08-23T16:21:58.506Z;28.94217585880588
47.579506;12.16907;487.980124;2024-08-23T16:22:00.407Z;28.849448152205355
47.579304;12.168673;487.240657;2024-08-23T16:22:04.229Z;28.260739004816287
47.579258;12.16857;487.056965;2024-08-23T16:22:05.246Z;28.640077895802644
47.579216;12.168437;486.838588;2024-08-23T16:22:06.348Z;28.769680614520105
47.579127;12.168083;486.532753;2024-08-23T16:22:09.272Z;29.528561113109458
47.579093;12.167903;486.422459;2024-08-23T16:22:10.696Z;29.17180914478423
47.579058;12.167721;486.310791;2024-08-23T16:22:12.127Z;28.118479922318635
47.578968;12.167271;486.033844;2024-08-23T16:22:15.833Z;29.162041984697396
47.578868;12.166762;485.721029;2024-08-23T16:22:20.180Z;28.807458859791844
47.578851;12.166682;485.671538;2024-08-23T16:22:20.928Z;28.66153899984702
47.578701;12.166032;485.266181;2024-08-23T16:22:27.624Z;29.305838144420434
47.578693;12.165998;485.244934;2024-08-23T16:22:27.958Z;29.515499761247977
47.578585;12.165584;485.065786;2024-08-23T16:22:32.453Z;29.465640059558098
47.57838;12.164984;484.895735;2024-08-23T16:22:39.586Z;28.580391238388682
47.578083;12.164278;484.685366;2024-08-23T16:22:46.815Z;28.84539381207439
47.577964;12.163999;484.601906;2024-08-23T16:22:49.729Z;29.16563171570178
47.577882;12.163822;484.547617;2024-08-23T16:22:51.547Z;29.48777256356118
47.577749;12.163536;484.459787;2024-08-23T16:22:54.683Z;28.760412881077354
47.57761;12.163077;484.682118;2024-08-23T16:22:59.106Z;28.90717051166809
47.577604;12.162916;484.759005;2024-08-23T16:23:00.456Z;28.446832512996984
47.577639;12.162824;484.809368;2024-08-23T16:23:01.285Z;28.401896687959663
47.577644;12.162772;484.834414;2024-08-23T16:23:01.716Z;29.4062629111971
47.577716;12.162643;484.914249;2024-08-23T16:23:03.233Z;29.678120014285412
47.577805;12.162556;484.989605;2024-08-23T16:23:04.652Z;28.963994939209833
47.579192;12.162141;486.687996;2024-08-23T16:23:35.063Z;29.50176644894601
47.579552;12.162047;487.627907;2024-08-23T16:23:43.992Z;29.18081801252382
47.5797;12.162029;488.009735;2024-08-23T16:23:47.764Z;28.677440122697437
47.579825;12.16203;488.33115;2024-08-23T16:23:50.907Z;29.180697802754207
47.579999;12.162057;488.780998;2024-08-23T16:23:55.611Z;29.769018283232985
47.580225;12.162166;489.392089;2024-08-23T16:24:01.973Z;28.982086980445025
47.580368;12.162281;489.8104;2024-08-23T16:24:06.622Z;29.782321827907005
47.580844;12.162769;491.162092;2024-08-23T16:24:23.453Z;27.690127447955128
47.581041;12.162881;491.626597;2024-08-23T16:24:28.384Z;29.410951252187612
47.581342;12.162941;492.295227;2024-08-23T16:24:34.918Z;29.043523534119085
47.581766;12.162876;493.233662;2024-08-23T16:24:43.749Z;28.850496324767064
47.582185;12.162777;494.167754;2024-08-23T16:24:53.318Z;29.04588038826775
47.582384;12.162722;494.48521;2024-08-23T16:24:58.037Z;28.006215542699554
47.582828;12.162614;495.057666;2024-08-23T16:25:08.397Z;28.890164056081243
47.582941;12.162586;495.203431;2024-08-23T16:25:10.866Z;29.178556285755874
47.583138;12.162537;495.457578;2024-08-23T16:25:15.147Z;29.73894702237076
47.583551;12.162435;495.99028;2024-08-23T16:25:23.346Z;28.740864890863175
47.583938;12.162349;496.488162;2024-08-23T16:25:29.823Z;28.595753198553407
47.584637;12.162242;496.335728;2024-08-23T16:25:40.721Z;28.74912147820773
47.584728;12.162257;496.296749;2024-08-23T16:25:41.937Z;29.457701058851036
47.584757;12.162299;496.27949;2024-08-23T16:25:42.466Z;29.164375554829842
47.58484;12.162334;496.242754;2024-08-23T16:25:43.659Z;28.73511989811648
47.584906;12.162298;496.212816;2024-08-23T16:25:44.701Z;29.256633716556678
47.584949;12.162215;496.182764;2024-08-23T16:25:45.695Z;29.04853877467402
47.585014;12.162159;496.150759;2024-08-23T16:25:46.645Z;29.484322495266444
